a_year,a_ref,a_District,a_type,a_veh,a_cas,a_wkday,a_day,a_month,a_hour,a_min,a_gd1,a_gd2,a_ctype,a_speed,a_jdet,a_jcont,a_pedhum,a_pedphys,a_light,a_weat,a_roadsc,a_speccs,a_chaz,a_scene
2021,3728,BELC,3,2,4,THU,28,10,19,20,332268,375562,13,30, , , , , , , , , , 
2021,3729,ANTN,3,2,3,THU,28,10,19,30,315391,385831,13,40, , , , , , , , , , 
2021,3730,NEMD,3,1,1,THU,28,10,19,0,342507,339686,13,60, , , , , , , , , , 
2021,3731,BELC,2,2,1,THU,28,10,23,46,333227,376396,13,30,1,1,1,11,4,2,2,1,1,1
2021,3732,LISC,3,1,1,THU,28,10,23,50,343369,374052,11,40, , , , , , , , , , 
2021,3733,ARND,2,1,2,FRI,29,10,4,10,351647,371469,13,60,1,1,1,1,6,2,2,1,1,1
2021,3734,ANTN,3,2,1,FRI,29,10,9,54,308568,390549,13,30, , , , , , , , , , 
2021,3735,CCGL,2,2,2,FRI,29,10,10,0,295668,426811,13,60,12,7,1,1,1,1,1,1,1,1
2021,3736,DCST,2,2,1,FRI,29,10,11,56,235160,379462,13,60,6,4,1,1,2,1,1,1,1,1
2021,3737,DCST,3,2,1,FRI,29,10,11,51,245178,415513,13,30, , , , , , , , , , 
2021,3738,FERO,3,1,1,FRI,29,10,12,43,223854,346544,1,40, , , , , , , , , , 
2021,3739,DCST,3,1,1,SAT,23,10,12,39,244126,416238,13,20, , , , , , , , , , 
2021,3740,BELC,3,2,1,FRI,29,10,12,55,329784,369739,14,70, , , , , , , , , , 
2021,3741,MIDU,3,2,1,FRI,29,10,12,58,280330,376154,13,40, , , , , , , , , , 
2021,3742,LISC,3,2,1,FRI,29,10,14,19,339825,368744,13,60, , , , , , , , , , 
2021,3743,CCGL,3,2,1,FRI,29,10,13,15,285801,440545,2,30, , , , , , , , , , 
